name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius,log_mass,mass_source
CoRoT-13 b,1.308,0.885,4.0350906,0.051,0.0,1020.6,Primary Transit,CoRoT-13,0.01,1.09,1.01,5945.0,122742.80744365563,0.0794139419487034,4.8024967941200506e+17,1.0792079207920793,0.2193259303768792,-1.2924298239020635,21.372549019607845,0.247825910030372,1.0579432612411324,0.8762376237623762,-0.1221676339742075,0.11660774398824848,Observed
CoRoT-14 b,7.6,1.09,1.51214,0.027,0.0,877.0,Primary Transit,CoRoT-14,0.05,1.13,1.21,6035.0,116169.65806025508,0.1121893497254545,1.8196236358033267e+18,0.933884297520661,0.7208327271284405,-1.5686362358410126,41.85185185185185,0.6613144285582022,0.6378555409607685,0.9008264462809918,0.0861776962410524,0.8808135922807914,Observed
CoRoT-16 b,0.535,1.17,5.35227,0.0618,0.33,895.2,Primary Transit,CoRoT-16,0.19,1.098,1.19,5650.0,121369.7904455245,0.0725488161067544,2.668190546417612e+17,0.9226890756302524,0.2185988375025923,-1.209011524911184,17.766990291262136,0.1868366132500789,0.6515705639645875,0.9831932773109244,0.1570037488096647,-0.27164621797877153,Observed
CoRoT-17 b,2.43,1.02,3.768125,0.0461,0.0,846.4,Primary Transit,CoRoT-17,0.0,1.04,1.59,5740.0,144926.50740953698,0.0768697542308121,5.107939195467741e+17,0.6540880503144654,0.2706916569912092,-1.3362990746103518,22.559652928416487,0.2653839774423619,0.2587271272158796,0.6415094339622641,0.0198026272961797,0.38560627359831223,Observed
CoRoT-18 b,3.47,1.31,1.90009057,0.0295,0.08,965.88,Primary Transit,CoRoT-18,-0.1,0.95,1.0,5440.0,140631.48322673398,0.0975500691852798,1.0063558298879631e+18,0.95,0.6894408196552442,-1.530177984021837,32.20338983050848,0.526290702026904,0.95,1.31,0.2700271372130602,0.5403294747908738,Observed
CoRoT-19 b,1.11,1.29,3.8971372,0.0518,0.047,1019.8,Primary Transit,CoRoT-19,-0.02,1.21,1.65,6090.0,109270.29406752365,0.0835148936793661,5.126366488312637e+17,0.7333333333333334,0.3310122107068748,-1.285670240254767,23.35907335907336,0.2565986129510657,0.2693602693602693,0.7818181818181819,0.2546422183735807,0.045322978786657475,Observed
CoRoT-1 b,1.03,1.49,1.50896846,0.0254,0.0,1600.8,Primary Transit,CoRoT-1,0.065,1.26,1.29,6355.0,138950.19957661553,0.1057629175379593,2.5281031299222287e+18,0.9767441860465116,0.9874295185732378,-1.595166283380062,49.60629921259843,0.6627043748813677,0.5869504152674188,1.1550387596899223,0.3987761199573678,0.012837224705172217,Observed
CoRoT-20 b,4.24,0.84,9.2431839,0.0902,0.562,704.2,Primary Transit,CoRoT-20,0.14,1.14,0.92,5880.0,116418.92234691425,0.0613147288682202,1.4692517924690634e+17,1.2391304347826084,0.0908777764337243,-1.0447934624580582,12.638580931263856,0.108187829087767,1.4640009862743484,0.9130434782608696,-0.1743533871447778,0.6273658565927327,Observed
CoRoT-21 b,2.26,1.3,2.72474,0.0417,0.0,1643.4,Primary Transit,CoRoT-21,0.0,1.29,1.95,6200.0,102386.32850392046,0.0961592031934748,8.497567988774447e+17,0.6615384615384615,0.4771097425809434,-1.3798639450262424,30.93525179856115,0.3670074942930334,0.1739746118444343,0.6666666666666667,0.262364264467491,0.35410843914740087,Observed
CoRoT-22 b,0.06,0.4354,9.75598,0.092,0.077,885.0,Primary Transit,CoRoT-22,0.17,1.099,1.136,5939.0,122230.14321576804,0.0592511514230781,1.4698656690711734e+17,0.9674295774647887,0.0446290377799052,-1.0362121726544449,11.945652173913045,0.1025012351398834,0.74965716861175,0.3832746478873239,-0.8314901301816899,-1.2218487496163564,Observed
