,name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius
54,82 Eri c,,0.286348,89.68,0.3625,0.077,769.0,Radial Velocity,82 Eri,-0.38,0.813,0.9,5490.0,168836.82105867402,0.025397576648668596,6913108227424495.0,0.9033333333333332,0.02426213298663954,-0.4406919890929875,2.242758620689655,0.011150758251561105,1.1152263374485594,0.2542857142857143,-1.2505474246262396
55,82 Eri d,,0.46008000000000004,648.2,1.354,0.47,717.4,Radial Velocity,82 Eri,-0.38,0.813,0.9,5490.0,169263.01026856815,0.013124703649986361,495509572823233.94,0.9033333333333332,0.02426213298663954,0.13161866434912553,0.6004431314623337,0.00154273372415921,1.1152263374485594,0.2542857142857143,-0.7763548915766382
56,82 Eri e,,0.3136,147.02,0.509,0.29,889.4,Radial Velocity,82 Eri,-0.38,0.813,0.9,5490.0,163907.75043318636,0.021753103804614402,3506338280344757.0,0.9033333333333332,0.02426213298663954,-0.29328221766324125,1.5972495088408643,0.006801795674057951,1.1152263374485594,0.2542857142857143,-1.1596369905058843
57,8 Umi b,,0.6714,93.31,0.462,0.062,900.2,Radial Velocity,8 Umi,-0.03,1.8000000000000003,9.9,4847.4,88293.84955418012,0.03110954465670313,2586732281449331.5,0.18181818181818182,0.02426213298663954,-0.33535802444387447,3.896103896103896,0.010716964955524596,0.001855098273831056,0.2542857142857143,-0.3983901944362025
58,94 Cet Ab,,0.34364,466.2,1.305,0.063,953.6,Radial Velocity,94 Cet A,0.25,1.34,1.93,5984.0,97794.17861422045,0.017588066979556758,752913901887251.2,0.694300518134715,0.02426213298663954,0.11561051167429974,1.0268199233716475,0.002145002145002145,0.186394404718171,0.2542857142857143,-1.0681606812122812
59,AB Aur b,9.0,1.9128599999999998,214527.5100858704,93.9,0.4,994.8,"Imaging, Other, Kinematic",AB Aur,0.08319999999999998,2.4,2.28,9500.0,55586.484375000015,0.002750188542756141,923768686466.5806,1.0526315789473684,0.02426213298663954,1.972665592266111,0.025559105431309903,4.66140682656375e-06,0.20249145486060494,0.2542857142857143,0.6485995042986313
60,AB Pic b,12.9,1.75,11.631249140000001,242.0,0.54,351.02,"Imaging, Astrometry",AB Pic,0.04,0.921,0.96,5285.0,139466.00274725264,0.051629068300008164,13321380540.957329,0.9865269461077845,0.02426213298663954,2.383815365980431,8.830474890037763,0.08597529151365278,1.0963722511574077,0.2542857142857143,0.5596157879354227
61,AB Pic c,5.75,0.72838,11.631249140000001,3.571,0.15542,555.6399999999999,Astrometry,AB Pic,0.04,1.077,0.96,5285.0,139466.00274725264,0.051629068300008164,61178703079814.82,0.9865269461077845,0.02426213298663954,0.5527898501927819,8.830474890037763,0.08597529151365278,1.0963722511574077,0.2542857142857143,-0.3169323889466131
62,AF Lep b,3.75,1.3,8875.0,8.98,0.012999999999999998,1564.8000000000002,Imaging,AF Lep,0.19,1.2,1.25,6130.0,108769.64559061061,0.00635752158405326,17510124126492.426,0.96,0.00014647887323943661,0.9532763366673044,0.13363028953229397,0.00011267605633802817,0.6144,1.04,0.26236426446749106
63,alf Ari b,,0.40040000000000003,380.8,1.2,0.25,1051.8,Radial Velocity,alf Ari,-0.09,1.5,13.9,4553.0,83917.03703703705,0.019799953699095336,298420125817000.7,0.1079136690647482,0.02426213298663954,0.07918124604762482,1.25,0.002626050420168067,0.0005585304542453714,0.2542857142857143,-0.9152912315410714
64,AS 209 b,1.3,0.7000000000000001,943071.444801506,200.0,0.13746,881.2,Imaging,AS 209,0.013800000000000002,1.2,2.18,4265.0,111172.96875,0.0013324940208537534,8272107138.765625,0.5504587155963302,0.02426213298663954,2.3010299956639813,0.006,1.0603650502963496e-06,0.11582752200915962,0.2542857142857143,-0.3566749439387323
65,AT2021uey b,1.34,0.27691999999999994,4170.0,4.01,0.07239999999999999,606.6,Microlensing,AT2021uey,0.082,0.48999999999999994,0.96,3680.0,269673.94729511946,0.006042103856544398,11405190126927.072,0.9865269461077845,0.02426213298663954,0.6031443726201823,0.12219451371571073,0.00023980815347721823,1.0963722511574077,0.2542857142857143,-1.2840266231723125
66,AU Mic b,0.028,0.4273,8.463446,0.07,0.07,569.5,Primary Transit,AU Mic,-0.050200000000000015,0.5,0.75,3700.0,208833.58074319523,0.051967363116935006,3.8248183673469384e+16,0.6666666666666666,0.05048770914353327,-1.154901959985743,7.142857142857142,0.1181551817073093,1.1851851851851851,0.5697333333333333,-0.8502689363321577
67,AU Mic c,0.0456,0.2248,18.859023,0.119,0.18,436.0,Primary Transit,AU Mic,-0.08700000000000001,0.5,0.75,3700.0,211055.89948160917,0.03964675431778045,1.3234665630958268e+16,0.6666666666666666,0.01192002364067322,-0.9244530386074693,4.201680672268908,0.05302501619516557,1.1851851851851851,0.29973333333333335,-1.4925441609626011
68,AU Mic d,0.003187,0.2533,12.73812,0.08614372418303426,0.0009699999999999986,895.8,TTV,AU Mic,-0.1644,0.5,0.75,3700.0,253828.12499999994,0.0424911197329411,2.5255711598298324e+16,0.6666666666666666,0.02426213298663954,-1.0647763566600317,5.80425335382091,0.07850452029027831,1.1851851851851851,0.2542857142857143,-1.3731807219745074
69,Barnard's star b,,0.297558,3.1542,0.02294,0.029999999999999985,438.0,Radial Velocity,Barnard's star,-0.56,0.16200000000000003,0.185,3195.0,824134.7260260838,0.045696617508940364,1.9801433100682845e+17,0.8756756756756757,0.02426213298663954,-1.6394065864347511,7.061900610287708,0.3170376006594382,25.585848814482855,0.2542857142857143,-1.2121461150150974
