name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff
Kepler-104 Ad,5.54,0.23508,51.755394,0.2542,0.0,515.0,Primary Transit,Kepler-104 A,-0.38,1.08,1.35,5921.0
Kepler-1050 b,,0.143,15.3787546,0.1266445082242986,0.086,1242.2,Primary Transit,Kepler-1050,0.029999999999999995,1.09,1.13,6010.0
Kepler-1050 c,,0.132,21.1284569,0.15651312778443605,0.086,1242.2,Primary Transit,Kepler-1050,0.029999999999999995,1.09,1.13,6010.0
Kepler-1051 b,,0.303,25.96200249,0.1965626002553289,0.289,1511.0,Primary Transit,Kepler-1051,0.04000000000000001,1.43,1.73,6675.0
Kepler-1052 b,,0.214,34.8536903,0.2046,0.0,522.0,Primary Transit,Kepler-1052,0.029999999999999995,1.02,0.965,5720.0
Kepler-1052 c,,0.21126,180.9259949,0.6135,0.0,302.0,Primary Transit,Kepler-1052,0.029999999999999995,1.02,0.965,5720.0
Kepler-1053 b,,0.087,2.41435165,0.03239224198113466,0.095,655.4359999999999,Primary Transit,Kepler-1053,0.1,0.74,0.69,4529.0
Kepler-1054 b,,0.235,4.30655689,0.05628208192264177,0.37260000000000004,836.8,Primary Transit,Kepler-1054,0.09,1.22,1.34,6209.0
Kepler-1055 b,,0.11,2.29503623,0.03438997080165521,0.01659999999999999,788.6,Primary Transit,Kepler-1055,-0.02,0.98,0.94,5723.0
Kepler-1056 b,,0.269,27.495606,0.18825432222088817,0.17200000000000001,919.0,Primary Transit,Kepler-1056,0.019999999999999997,1.12,1.2,6127.0
Kepler-1057 b,,0.3,14.08827448,0.11872163805057258,0.12159999999999999,1236.4,Primary Transit,Kepler-1057,0.01,1.07,1.1,5987.0
Kepler-1058 Ab,,0.1882,110.9643706,0.3679,0.0,239.0,Primary Transit,Kepler-1058 A,-0.06,0.73,0.69,4644.0
Kepler-1059 b,,0.154,3.76419105,0.043748679034404776,0.067,667.8,Primary Transit,Kepler-1059,-0.15,0.75,0.72,4906.0
Kepler-105 b,0.016,0.429,5.4122,0.066,0.47,1418.0,Primary Transit,Kepler-105,-0.19,0.96,0.89,5827.0
Kepler-105 c,0.01447,0.117,7.1262,0.072,0.2974,1130.6,Primary Transit,Kepler-105,-0.19,0.96,0.89,5827.0
Kepler-1060 b,,0.212,46.8779367,0.2578422852685639,0.0838,1612.6,Primary Transit,Kepler-1060,-0.03,0.99,0.99,5797.0
Kepler-1061 b,,0.177,2.75798267,0.04027478888514893,0.026000000000000002,1108.0,Primary Transit,Kepler-1061,-0.03,1.09,1.07,6067.0
Kepler-1062 Ab,,0.157,9.30412078,0.07778514660058043,0.192,582.8,Primary Transit,Kepler-1062 A,0.11,0.69,0.78,4412.0
Kepler-1063 Ab,,0.1856,14.07969236,0.1176,0.0,931.0,Primary Transit,Kepler-1063 A,0.09,1.09,1.14,5945.0
Kepler-1064 Ab,,0.138,16.54080322,0.12236976422055063,0.0692,1080.0,Primary Transit,Kepler-1064 A,0.0,0.85,0.79,5153.0
Kepler-1065 b,,0.333,3.60930891,0.04586577521476332,0.10540000000000001,927.0,Primary Transit,Kepler-1065,-0.01,0.94,0.93,5635.0
Kepler-1065 c,,0.143,2.37030743,0.03465313159163011,0.10540000000000001,927.0,Primary Transit,Kepler-1065,-0.01,0.94,0.93,5635.0
Kepler-1066 b,,0.211,1.93155984,0.030655675340290765,0.006599999999999981,897.0,Primary Transit,Kepler-1066,-0.03,0.98,0.98,5762.0
Kepler-1067 b,,0.071,0.76212926,0.01632138628247191,0.05514,813.4,Primary Transit,Kepler-1067,0.029999999999999995,0.95,0.943,5461.0
Kepler-1067 c,,0.15584,5.425839901,0.0601,0.0,973.0,Primary Transit,Kepler-1067,0.029999999999999995,0.95,0.943,5461.0
Kepler-1068 b,,0.324,16.92344113,0.13160215246347678,0.7001999999999999,864.8,Primary Transit,Kepler-1068,0.029999999999999995,1.01,1.01,5806.0
Kepler-1069 b,,0.143,23.8990296,0.16454903041746177,0.18519999999999998,1612.6,Primary Transit,Kepler-1069,0.04000000000000001,0.99,0.98,5722.0
Kepler-106 b,0.01668,0.073,6.16486,0.06690299556840967,0.9021999999999999,1045.2,Primary Transit,Kepler-106,-0.12,1.0,1.04,5858.0
Kepler-106 c,0.033,0.223,13.5708,0.11321406513754585,0.9021999999999999,1045.2,Primary Transit,Kepler-106,-0.12,1.0,1.04,5858.0
Kepler-106 d,0.02549,0.085,23.9802,0.16547483317161152,0.9021999999999999,1045.2,Primary Transit,Kepler-106,-0.12,1.0,1.04,5858.0
Kepler-106 e,0.035,0.228,43.8445,0.24742305550671212,0.9021999999999999,1045.2,Primary Transit,Kepler-106,-0.12,1.0,1.04,5858.0
Kepler-1070 b,,0.154,6.2216147,0.07172886345285608,0.0722,1276.2,Primary Transit,Kepler-1070,0.029999999999999995,1.21,1.32,6261.0
Kepler-1071 Ab,,0.212,6.1799844,0.06372665958308109,0.034,956.8,Primary Transit,Kepler-1071 A,0.01,0.86,0.81,5215.0
Kepler-1072 b,,0.141,1.5690665,0.02855297730490116,0.0502,1164.2,Primary Transit,Kepler-1072,0.07,1.2,1.32,6199.0
Kepler-1073 b,,0.205,8.67888593,0.0848695331254851,0.07,935.8,Primary Transit,Kepler-1073,0.0,1.03,0.987,5774.0
Kepler-1073 c,,0.146,4.02582254,0.05085639570584577,0.07,935.8,Primary Transit,Kepler-1073,0.0,1.03,0.987,5774.0
Kepler-1073 d,,0.132725,2.50475282,0.0352,0.0,1369.0,Primary Transit,Kepler-1073,0.0,1.03,0.987,5774.0
Kepler-1074 b,,0.112,5.94566534,0.05508256326226478,0.10439999999999999,1176.0,Primary Transit,Kepler-1074,-0.06,0.6000000000000001,0.57,4002.0
Kepler-1075 Ab,,0.127,1.52372816,0.02171856312930552,0.12079999999999999,977.2,Primary Transit,Kepler-1075 A,-0.17,0.56,0.54,3959.0
Kepler-1076 Ab,,0.071,6.14727918,0.061729734137337754,0.0194,898.6,Primary Transit,Kepler-1076 A,-0.01,0.79,0.74,4868.0
Kepler-1077 b,,0.247,34.3511874,0.21166935075221105,0.0,557.8000000000001,Primary Transit,Kepler-1077,0.029999999999999995,1.02,1.02,5816.0
