name,mass,radius,orbital_period,semi_major_axis,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius
TOI-375 d,,0.3792,297.9,0.984,Radial Velocity,TOI-375,0.084,1.44,2.9,5260.0,93144.17730082267,0.020754126694409913,790592663262608.2,0.496551724137931,0.02426213298663954,-0.007004901568658489,1.4634146341463414,0.0033568311513930854,0.059043011193570874,0.2542857142857143,-0.9696915086012704
TOI-3785 b,0.04704,0.4586,4.6747373,0.043,Primary Transit,TOI-3785,0.1,0.52,0.5,3576.0,274858.425346338,0.05779511251011306,8.844089509257762e+16,1.04,0.09810176926947317,-1.3665315444204136,12.093023255813955,0.21391576377992405,4.16,0.9172,-0.779576908558333
TOI-3807 b,1.04,2.0,2.8989727,0.0421,Primary Transit,TOI-3807,0.278,1.181,1.468,5772.0,112626.85671505996,0.09124684114212617,6.262404239923359e+17,0.8044959128065395,0.6898995633867129,-1.3757179041643317,28.05225653206651,0.34494978169335644,0.3733118112868068,1.3623978201634879,0.6931471805599453
TOI-3819 b,1.11,1.172,3.2443141,0.04611,Primary Transit,TOI-3819,0.273,1.242,1.538,5859.0,107364.42966105435,0.08930013111679005,5.54247506046384e+17,0.8075422626788036,0.3612473897024952,-1.3362048777805924,26.9355888093689,0.30823156117960343,0.3413914101026292,0.7620286085825747,0.1587116911548208
TOI-3837 b,0.59,0.96,11.88865,0.093,Primary Transit,TOI-3837,0.2912,0.902,0.96,5533.0,175717.99440111793,0.04915076426404188,9.032184334005978e+16,0.9865269461077845,0.08074928608378579,-1.031517051446065,8.830474890037763,0.0841138396706102,1.0963722511574077,0.2542857142857143,-0.040821994520255166
TOI-3856 b,0.54,1.213,2.04360352,0.0325,Primary Transit,TOI-3856,0.454,1.096,1.055,5622.0,121658.70833191123,0.09992325834481659,9.457941928420884e+17,1.0388625592417062,0.593559361260055,-1.4881166390211256,33.723076923076924,0.48933170755157046,0.9333685759454697,1.1497630331753557,0.19309662996191315
TOI-3862 b,0.169,0.4934,1.55745774,0.0254,Primary Transit,TOI-3862,0.11,0.9,0.92,5300.0,148023.7467728147,0.10247013623776494,1.2230270010540022e+18,0.9782608695652174,0.31679832288739984,-1.595166283380062,35.43307086614173,0.6420719961236315,1.1557902523218542,0.5363043478260869,-0.7064350748868807
TOI-3877 b,0.314,1.042,4.123596,0.0529,Primary Transit,TOI-3877,0.269,1.16,1.445,5731.0,114864.33516953443,0.08060452642543064,3.8548749093175085e+17,0.8027681660899653,0.25269206779713627,-1.2765443279648143,21.9281663516068,0.2425067829147181,0.38446290925154886,0.7211072664359861,0.04114194333117521
TOI-3884 b,0.0519,0.5629,4.5445697,0.0354,Primary Transit,TOI-3884,0.23,0.2813,0.3043,3269.0,465560.09815453406,0.048942974705428625,9.112827685396995e+16,0.9244166940519224,0.12386211174184432,-1.4509967379742121,7.946327683615819,0.22004283485849055,9.98306445441953,1.849819257311863,-0.5746532865121562
TOI-3894 b,0.85,1.3600000000000003,4.3345401,0.0543,Primary Transit,TOI-3894,0.038,1.2038,0.96,5533.0,117350.93694091585,0.07871122525313622,9.032184334005978e+16,0.9865269461077845,0.31375877685385817,-1.265200170411153,8.830474890037763,0.23070498298077804,1.0963722511574077,0.2542857142857143,0.3074846997479609
TOI-3896 Ab,,0.2552,4.3773,0.05063689995545218,Primary Transit,TOI-3896 A,0.03799999999999999,0.86,0.748,5127.0,147574.4912790697,0.07268430900354551,2.6947535333999123e+17,1.1497326203208555,0.05830077901902999,-1.2955328901441743,16.983662126958503,0.2284513284444749,2.054914031572349,0.34117647058823525,-1.3657077275115024
TOI-3912 b,0.406,1.274,3.4936264,0.0463,Primary Transit,TOI-3912,0.187,1.088,1.392,5725.0,122973.0510680158,0.08326920122953468,5.011179760789223e+17,0.781609195402299,0.36466406367893256,-1.334419008982047,23.49892008639309,0.28623552879037095,0.4033770537112209,0.9152298850574714,0.24216155714997162
TOI-3919 b,3.88,1.1,7.433234,0.0795,Primary Transit,TOI-3919,0.001999999999999983,1.039,0.96,5533.0,109964.93540654564,0.06719998750487031,9.032184334005978e+16,0.9865269461077845,0.14798404032484383,-1.0996328713435297,8.830474890037763,0.13453094574985802,1.0963722511574077,0.2542857142857143,0.09531017980432493
