Unnamed: 0,name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,log_radius,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_mass,mass_source
5073,NGTS-5 Ab,0.229,1.136,3.3569866,0.0382,0.0,952.0,Primary Transit,NGTS-5 A,0.12,0.661,0.739,4987.0,0.1275133202989595,202166.4693666753,0.0714979555576004,4.2386811359924416e+17,0.8944519621109608,0.3383987293842638,-1.417936637088291,17.30366492146597,0.2978862054438942,1.637827445036834,1.5372124492557508,-0.640164517660112,Observed
5074,NGTS-6 Ab,1.33,1.271,0.882058,0.016623018,0.0,1466.0,Primary Transit,NGTS-6 A,0.11,0.7876,0.656,4410.0,0.2398039922073169,169380.98770865312,0.1184111503535842,1.3687830152953247e+18,1.2006097560975608,1.440948327660993,-1.7792901248505402,47.380084651294965,1.1337122955633303,2.789935669099403,1.9375,0.1238516409670858,Observed
5075,NGTS-8 b,0.93,1.09,2.4997,0.035,0.0099999999999999,1345.0,Primary Transit,NGTS-8,0.24,0.89,0.98,5241.0,0.0861776962410524,145737.61142857137,0.0879751513186724,6.15914672508213e+17,0.9081632653061223,0.4360523262791536,-1.4559319556497243,25.428571428571427,0.4000480057606913,0.9456093974449422,1.1122448979591837,-0.0315170514460648,Observed
5076,NGTS-9 b,2.9,1.07,4.43527,0.058,0.06,1448.0,Primary Transit,NGTS-9,0.31,1.34,1.38,6330.0,0.0676586484738148,100822.19429302144,0.0821651777268161,4.772641935820451e+17,0.9710144927536232,0.2412479961761065,-1.2365720064370629,23.103448275862068,0.2254654169870154,0.509879485797954,0.7753623188405798,0.4623979978989561,Observed
5084,nu2 Lup b,0.01472,0.14658,11.577794,0.0963,0.079,911.0,Radial Velocity,nu2 Lup,0.0145999999999999,0.8898,0.94,5573.0,-1.920183924484433,150097.26357886352,0.0522613155046111,1.300672220682913e+17,0.9957332605531296,0.0126604429133909,-1.0163737128754655,11.632943684351554,0.086372239823925,1.146640925529523,0.2542857142857143,-1.83209218999852,Observed
5085,nu2 Lup c,0.0353,0.25489,27.592076,0.1717,0.0369999999999999,682.0,Radial Velocity,nu2 Lup,-0.1211999999999999,0.7816000000000001,0.94,5573.0,-1.366923199440634,150403.47470770695,0.0390990122397,1.300672220682913e+17,0.9957332605531296,0.0092377971124753,-0.7652297048390835,11.632943684351554,0.0362422892717459,1.146640925529523,0.2542857142857143,-1.4522252946121774,Observed
5086,nu2 Lup d,0.02725,0.22366,107.1363,0.424,0.075,433.0,Radial Velocity,nu2 Lup,-0.0939999999999999,0.4216000000000001,0.94,5573.0,-1.4976282373820948,150582.92113742075,0.0248661804658565,1.300672220682913e+17,0.9957332605531296,0.0020876210957443,-0.3726341434072673,11.632943684351554,0.0093339045682929,1.146640925529523,0.2542857142857143,-1.5646334933873387,Observed
5197,OGLE2-TR-L9 b,4.34,1.614,2.4855335,0.0404,0.0597999999999999,2165.2000000000003,Primary Transit,OGLE2-TR-L9,-0.05,1.42,1.503,6933.0,0.4787155698477571,93690.41152206749,0.1021272440745841,1.415539753937801e+18,0.9447771124417832,0.6493575725291976,-1.393618634889395,35.148514851485146,0.402328111852043,0.4182263605155106,1.0738522954091818,0.6374897295125107,Observed
5199,OGLE-TR-10 b,0.68,1.72,3.10129,0.04162,0.0,1378.2,Primary Transit,OGLE-TR-10,0.28,1.14,1.242,6075.0,0.5423242908253617,133406.97293588967,0.0843217411092849,7.862867863081857e+17,0.9178743961352656,0.5546079212198795,-1.380697924124392,27.390677558865928,0.3224464658255113,0.5950316461004312,1.3848631239935587,-0.1674910872937636,Observed
5200,OGLE-TR-111 b,0.54,1.077,4.01451,0.047,0.0,1698.0,Primary Transit,OGLE-TR-111,0.2199999999999999,0.78,0.979,4800.0,0.0741793981742514,155228.51911522492,0.0735605863324392,2.4030855590765053e+17,0.7967313585291114,0.2682768258143584,-1.3279021420642825,16.595744680851066,0.2490964027988472,0.8312784600503437,1.1001021450459652,-0.2676062401770314,Observed
5201,OGLE-TR-113 b,1.24,1.11,1.4324772,0.0229,0.0,1692.8000000000002,Primary Transit,OGLE-TR-113,0.14,0.73,0.817,4588.0,0.1043600153242428,170871.2472398667,0.100444840263016,8.449337778942735e+17,0.8935128518971849,0.7748814431391998,-1.640164517660112,31.87772925764192,0.6980913902154953,1.3386180924287665,1.3586291309669525,0.093421685162235,Observed
5202,OGLE-TR-132 b,1.17,1.23,1.689868,0.0306,0.0,1646.0,Primary Transit,OGLE-TR-132,0.37,1.19,1.234,6210.0,0.2070141693843261,99664.6818365206,0.1137754371345545,1.5882671288927337e+18,0.9643435980551052,0.7278675020770853,-1.51427857351842,38.888888888888886,0.5917621968106385,0.6332883259400097,0.9967585089141004,0.0681858617461616,Observed
5203,OGLE-TR-182 b,1.06,1.47,3.9791,0.051,0.0,1610.0,Primary Transit,OGLE-TR-182,0.37,1.08,1.25,5924.0,0.3852624007906449,119360.1013938832,0.080531389174979,4.734998515717709e+17,0.8640000000000001,0.3694302731773516,-1.2924298239020635,21.176470588235297,0.2513131110050011,0.55296,1.176,0.0253058652647702,Observed
5204,OGLE-TR-211 b,0.75,1.26,3.67724,0.051,0.0,1478.4,Primary Transit,OGLE-TR-211,0.11,1.25,1.532,6325.0,0.2311117209633866,101937.36962103566,0.0871421094805231,6.15321042537726e+17,0.8159268929503917,0.3426482905657504,-1.2924298239020635,24.50980392156863,0.2719430877505955,0.3476431825794673,0.8224543080939948,-0.1249387366082999,Observed
5205,OGLE-TR-56 b,1.3,1.2,1.211909,0.0225,0.0,1429.8,Primary Transit,OGLE-TR-56,0.2199999999999999,1.17,1.32,6050.0,0.1823215567939546,128941.4254512812,0.1166520501221962,2.646405938271605e+18,0.8863636363636362,0.9901733546000566,-1.6478174818886375,52.0,0.8251444621667139,0.5087027297771098,0.9090909090909092,0.1139433523068367,Observed
5215,pi Men c,0.01142,0.16719,6.267852,0.06702,0.15,1147.0,Primary Transit,pi Men,0.08,1.094,1.1,6037.0,-1.7886243887325823,130504.11195132516,0.0671839538149873,2.95716703607443e+17,0.9945454545454544,0.0266742099207192,-1.1737955765007473,16.32348552670845,0.1595442904522953,0.8219383921863259,0.1519909090909091,-1.9423338960901708,Observed
5218,POTS-1 b,2.31,0.941,3.1606296,0.03734,0.192,646.5999999999999,Primary Transit,POTS-1,-0.03,0.695,0.94,4400.0,-0.0608121393967574,191877.59451308416,0.0742301911524481,2.6882031070471293e+17,0.9957332605531296,0.2977254911489786,-1.4278256863869403,18.61274772362078,0.316392657969159,1.146640925529523,0.2542857142857143,0.3636119798921443,Observed
5226,PSR 1719-14 b,1.0,0.4,0.090706293,0.0044,0.06,1702.0,Timing,PSR 1719-14,0.1639999999999999,1.4,0.94,5573.0,-0.916290731874155,96586.58421536729,0.304786078641646,1.300672220682913e+17,0.9957332605531296,4.409837363764828,-2.356547323513813,318.18181818181813,11.024593409412068,1.146640925529523,0.2542857142857143,0.0,Observed
5235,PSR J0636+5129	b,8.5,0.74,0.0665513392,0.0036,0.094,1861.8,Timing,PSR J0636+5129,0.182,1.4,0.94,5573.0,-0.3011050927839216,94930.57161594344,0.339879969024673,1.300672220682913e+17,0.9957332605531296,11.119235298573823,-2.4436974992327127,388.88888888888886,15.025993646721384,1.146640925529523,0.2542857142857143,0.9294189257142929,Observed
5246,Qatar-10 b,0.736,1.534,1.645321,0.0286,0.0,1955.0,Primary Transit,Qatar-10,0.016,1.156,1.254,6124.0,0.4278787029450644,115718.60307089238,0.1092182618378639,1.7195256631099026e+18,0.9218500797448164,0.9323408623605972,-1.5436339668709569,40.41958041958041,0.6077841345245092,0.5862262003978443,1.2232854864433813,-0.1331221856625011,Observed
